date,Birdlife name,Purple means Butchart et al. BBOC think species is extinct; yellow is extinct in wild,Date known (purple agrees with Butchart et al,Date extinction Best guess ,years observed (-ve for fossils),Sound Index,comments,
1872,Cabalus modestus ,CHATHAM RAIL (E) ,1872,1899,26.5,999,,
1788,Drepanis pacifica ,HAWAI'I MAMO (E) ,1788,1899,110.5,999,,
1851,Eriocnemis godini,Turquoise-throated Puffleg,1851,1899,48,999,but Butchart count it as extinct before 1900,
1887,Aplonis mavornata ,MYSTERIOUS STARLING (E) ,1887,1900,13,999,latest date was next known visit,
1869,Bowdleria rufescens ,CHATHAM ISLAND FERNBIRD (E) ,1869,1900,31,999,,
1876,Caracara lutosa ,GUADALUPE CARACARA (E),1876,1900,24,999,,
1766,Ectopistes migratorius ,PASSENGER PIGEON (E) ,1766,1900,134,999,,
1871,Ixobrychus novaezelandiae ,NEW ZEALAND LITTLE BITTERN (E) ,1871,1900,29,999,,
1892,Hemignathus sagittirostris ,GREATER 'AMAKIHI (E) ,1892,1901,9,999,,
1841,Mergus australis ,AUCKLAND ISLAND MERGANSER (E) ,1841,1902,61,999,,
1904,Microgoura meeki ,CHOISEUL PIGEON (E),1904,1905,1,999,,
1843,Anthornis melanocephala ,CHATHAM ISLAND BELLBIRD (E) ,1843,1906,63,999,,
1894,Drepanis funerea ,BLACK MAMO (E) ,1893,1907,14,999,,
1837,Heteralocha acutirostris ,HUIA (E) ,1837,1907,70,999,,
1993,Heliangelus zusii ,Bogota Sunangel,1993,1909,,999,,
1893,Moho bishopi ,BISHOP'S 'O'O (E),1893,1910,16.5,999,one sighting in 1981,
1827,Quiscalus palustris ,SLENDER-BILLED GRACKLE (E) ,1827,1910,83,999,,
1887,Oceanodroma macrodactyla ,Guadalupe Storm-petrel,1887,1912,25,999,,
1844,Sceloglaux albifacies ,LAUGHING OWL (E),1844,1914,70,999,,
1878,Ciridops anna ,ULA-'AI-HAWANE (E) ,1879,1915,35.5,999,,
1887,Columba jouyi ,RYUKYU PIGEON (E),1887,1920,33,999,,
1758,Conuropsis carolinensis ,CAROLINA PARAKEET (E) ,1758,1920,162,999,,
1919,Dysmorodrepanis munroi ,LANA'I HOOKBILL (E) ,1919,1920,1,999,,
1836,Aplonis fusca ,NORFOLK STARLING (E),1836,1921,84.5,999,,
1849,Ptilinopus mercierii ,RED-MOUSTACHED FRUIT-DOVE (E) ,1849,1922,73,999,,
1882,Gallicolumba salamonis ,Thick-billed Ground-dove,1882,1927,45,999,,
1886,Turdus ravidus ,GRAND CAYMAN THRUSH (E) ,1886,1927,41,999,,
1865,Turnagra turnagra,NORTH ISLAND PIOPIO (E) ,1865,1928,62.5,999,,
1855,Zosterops strenuus ,ROBUST WHITE-EYE (E) ,1855,1928,73,999,,
1789,Gallirallus pacificus ,TAHITI RAIL (E) ,1789,1930,141,999,,
1891,Myadestes lanaiensis ,Oloma'o,1891,1933,42,999,,
1892,Porzana palmeri ,LAYSAN CRAKE (E) ,1892,1934,41.5,999,,
1786,Moho nobilis ,HAWAI'I 'O'O (E) ,1786,1934,148,999,,
1878,Gerygone insularis ,LORD HOWE GERYGONE (E) ,1879,1936,57,999,,
1788,Hemignathus obscurus ,'AKIALOA (E) ,1788,1940,152,999,,
1903,Gallirallus wakensis ,WAKE ISLAND RAIL (E) ,1903,1944,40.5,999,,
1832,Campephilus imperialis ,Imperial Woodpecker,1832,1956,124,999,,
1845,Psephotus pulcherrimus ,BEAUTIFUL PARAKEET (E),1845,1959,113.5,999,,
1913,Haematopus meadewaldoi ,CANARIAN BLACK OYSTERCATCHER (E),1913,1960,47,999,,
1789,Pezophaps solitaria ,RODRIGUES SOLITAIRE (E) ,1789,1960,171,999,,
1890,Paroreomyza flammea ,KAKAWAHIE (E),1889,1963,74,999,,
1787,Turnagra capensis ,NEW ZEALAND THRUSH (E),1787,1963,176,999,,
1889,Akialoa stejnegeri ,KAUAI 'AKIALOA (E) ,1889,1969,80,999,,
1789,Xenicus longipes ,BUSH WREN (E),1789,1972,183,999,,
1871,Zenaida graysoni ,Socorro Dove,1871,1972,101,999,,
1866,Nesoclopeus poecilopterus ,BAR-WINGED RAIL (E) ,1866,1973,107,999,,
1928,nil,nil,1928,1975,47,999,considered valid under 2006 revision,
1959,Podiceps andinus ,COLOMBIAN GREBE (E) ,1959,1977,18,999,,
1928,nil,nil,1928,1977,49,999,considered valid under 2006 revision,
1772,Numenius borealis ,Eskimo Curlew,1772,1981,209,999,,
1881,Myiagra freycineti ,GUAM BROADBILL (E),1881,1983,102,999,,
1766,Mitu mitu ,Alagoas Curassow,1766,1984,218,999,,
1968,Nesillas aldabrana ,ALDABRA BRUSH-WARBLER (E),1968,1985,16.5,999,,
1855,Moho braccatus ,KAUA'I 'O'O (E) ,1855,1985,130,999,1987 vocalizations only,
1850,Paroreomyza maculata ,O'ahu 'Alauahio,1850,1985,135,999,,
1928,nil,nil,1928,1985,57,999,considered valid under 2006 revision,
1929,Podilymbus gigas ,ATITLÁN GREBE (E),1929,1986,57,999,,
1789,Psittirostra psittacea ,'O'u,1789,1987,198,999,,
1932,Tachybaptus rufolavatus ,Alaotra Grebe,1932,1988,56,999,,
1833,Vermivora bachmanii ,Bachman's Warbler,1833,1988,155,6,,
1887,Myadestes myadestinus ,Kama'o,1887,1989,102,5,,
1797,Gymnogyps californianus ,California Condor,1898,1990,92,4,,
1895,Gallirallus owstoni ,Guam Rail,1895,1994,99,3,,
1839,Hemignathus lucidus ,Nukupu'u,1839,1996,157,999,,
1832,Cyanopsitta spixii ,Spix's Macaw,1832,2000,168,2,,
1848,Corvus hawaiiensis,Hawaiian Crow,1848,2005,157,1,,
1974,Melamprosops phaeosoma ,Po'o-uli,1974,2005,31,0,,
